City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Gravdal,NO,68.12,13.5,55.4,93,75,4.7,shower rain
271,Marawi,PH,8.0,124.29,75.99,89,59,4.0,broken clouds
272,Shingu,JP,33.73,135.98,74.05,88,17,4.5,few clouds
273,Les Cayes,HT,18.2,-73.75,83.14,70,62,10.71,light rain
274,Santiago De Cao,PE,-7.96,-79.24,63.19,76,34,14.03,scattered clouds
275,Tabas,IR,33.6,56.92,80.6,13,0,4.7,clear sky
276,Kibre Mengist,ET,5.88,38.98,59.94,95,100,3.76,moderate rain
277,Clyde River,CA,70.47,-68.59,39.2,80,75,13.87,broken clouds
278,Mehamn,NO,71.04,27.85,59.0,82,89,11.41,overcast clouds
279,Lagoa,PT,39.05,-27.98,71.04,79,33,22.3,scattered clouds
280,Keti Bandar,PK,24.14,67.45,82.02,81,2,9.35,clear sky
281,Pemba,MZ,-12.97,40.52,75.2,78,20,17.22,few clouds
282,Havelock,US,34.88,-76.9,93.0,56,1,1.01,clear sky
283,Kiama,AU,-34.68,150.87,54.0,61,0,11.99,clear sky
284,Thinadhoo,MV,0.53,72.93,82.51,77,46,18.05,scattered clouds
285,Cabo San Lucas,MX,22.89,-109.91,93.2,52,5,8.05,clear sky
286,Mayumba,GA,-3.43,10.66,74.3,86,100,9.57,overcast clouds
287,Abu Samrah,SY,35.3,37.18,83.89,25,0,7.56,clear sky
288,Wiwili,NI,13.63,-85.83,73.4,83,90,3.6,moderate rain
289,Hoquiam,US,46.98,-123.89,62.01,77,90,9.17,overcast clouds
290,Lasa,IT,46.62,10.7,59.0,87,5,1.12,clear sky
291,Totoral,PE,-17.41,-70.36,64.54,28,0,6.82,clear sky
292,Tursunzoda,TJ,38.51,68.23,64.4,52,0,4.47,clear sky
293,Mahibadhoo,MV,3.78,72.97,82.67,77,38,19.77,scattered clouds
294,Manokwari,ID,-0.87,134.08,79.34,74,24,4.32,few clouds
295,Shelburne,CA,44.08,-80.2,71.6,35,20,14.99,few clouds
296,Rio Tercero,AR,-32.17,-64.11,68.18,39,32,14.92,scattered clouds
297,Otane,NZ,-39.88,176.63,50.68,68,0,2.37,heavy intensity rain
298,Waw,SS,7.7,28.0,71.15,94,93,3.02,light rain
299,Alofi,NU,-19.06,-169.92,73.4,69,75,10.29,broken clouds
300,Nichinan,JP,31.6,131.37,77.76,88,100,11.56,light rain
301,Olafsvik,IS,64.89,-23.71,46.62,72,96,6.02,overcast clouds
302,Hasaki,JP,35.73,140.83,77.0,94,75,5.82,mist
303,Coahuayana,MX,18.73,-103.68,86.0,74,40,5.66,scattered clouds
304,Khatanga,RU,71.97,102.5,40.48,82,94,9.08,overcast clouds
305,Fare,PF,-16.7,-151.02,78.03,75,78,17.07,broken clouds
306,Sao Joao Batista,BR,-27.28,-48.85,64.99,87,94,5.99,overcast clouds
307,Vao,NC,-22.67,167.48,66.67,66,100,19.13,overcast clouds
308,Alzamay,RU,55.56,98.66,58.19,94,100,8.12,moderate rain
309,Nelson Bay,AU,-32.72,152.15,60.01,93,40,6.93,scattered clouds
310,Afua,BR,-0.16,-50.39,83.64,68,78,6.78,broken clouds
311,Sault Sainte Marie,CA,46.52,-84.33,64.4,63,40,17.22,scattered clouds
312,Iberia,US,29.95,-91.75,95.0,52,20,5.82,few clouds
313,Saldanha,ZA,-33.01,17.94,58.59,72,88,7.54,overcast clouds
314,Tateyama,JP,34.98,139.87,80.6,83,20,8.05,few clouds
315,Chifeng,CN,42.27,118.96,57.25,80,71,4.61,broken clouds
316,Kyra,RU,49.58,111.98,47.98,86,100,4.65,overcast clouds
317,Pacific Grove,US,36.62,-121.92,73.4,56,1,12.75,clear sky
318,Pouebo,NC,-20.4,164.57,68.14,68,29,16.2,scattered clouds
319,Dalbandin,PK,28.89,64.41,78.69,16,5,1.21,clear sky
320,Gold Coast,AU,-28.0,153.43,64.99,82,65,5.82,broken clouds
321,Arrecife,ES,28.96,-13.55,73.4,78,0,5.82,clear sky
322,Kefamenanu,ID,-9.45,124.48,66.25,83,15,2.73,few clouds
323,Hare Bay,CA,48.85,-54.01,73.4,73,75,25.28,broken clouds
324,Maracai,BR,-22.61,-50.67,84.38,33,0,3.42,clear sky
325,Rafai,CF,4.95,23.92,69.22,95,98,1.3,moderate rain
326,Binzhou,CN,37.37,118.02,67.33,76,0,7.96,clear sky
327,Agadez,NE,19.75,10.25,93.49,22,33,6.11,scattered clouds
328,Campeche,MX,19.0,-90.5,93.47,45,96,5.46,overcast clouds
329,Synya,RU,65.37,58.04,44.78,93,17,3.29,few clouds
330,Cap Malheureux,MU,-19.98,57.61,66.0,75,0,1.99,clear sky
331,Belmonte,BR,-15.86,-38.88,77.0,69,20,8.05,few clouds
332,Namatanai,PG,-3.67,152.43,80.55,79,100,8.23,overcast clouds
333,Markovo,RU,57.32,107.09,53.73,85,1,1.03,clear sky
334,Gimli,CA,50.63,-96.99,66.0,77,0,3.0,clear sky
335,Souillac,MU,-20.52,57.52,69.8,73,75,12.75,broken clouds
336,Sistranda,NO,63.73,8.83,53.6,93,75,5.82,broken clouds
337,Kenai,US,60.55,-151.26,55.99,71,1,4.7,clear sky
338,Hervey Bay,AU,-25.3,152.85,60.01,91,16,3.0,few clouds
339,Provideniya,RU,64.38,-173.3,42.01,67,32,3.44,scattered clouds
340,Kalevala,RU,65.2,31.17,54.14,91,43,7.9,scattered clouds
341,Esperance,AU,-33.87,121.9,50.0,100,0,13.87,clear sky
342,Sharan,RU,54.82,54.0,45.93,89,11,4.25,few clouds
343,Ceguaca,HN,14.8,-88.2,82.85,73,96,4.25,moderate rain
344,Massaguet,TD,12.48,15.44,80.6,88,20,5.66,few clouds
345,Bonfim,BR,3.08,-59.95,89.69,61,96,3.94,overcast clouds
346,Linxia,CN,35.6,103.21,61.48,71,100,1.88,overcast clouds
